2026/03/08 00:17:14.097, 0 %, 0 %, 17752 MiB, 24564 MiB, 59.02 W
2026/03/08 00:17:15.097, 0 %, 0 %, 17752 MiB, 24564 MiB, 58.82 W
2026/03/08 00:17:16.098, 0 %, 0 %, 17752 MiB, 24564 MiB, 58.42 W
2026/03/08 00:17:17.098, 0 %, 0 %, 17752 MiB, 24564 MiB, 57.90 W
2026/03/08 00:17:18.098, 0 %, 0 %, 17752 MiB, 24564 MiB, 57.52 W
2026/03/08 00:17:19.099, 0 %, 0 %, 17752 MiB, 24564 MiB, 57.18 W
2026/03/08 00:17:20.099, 0 %, 0 %, 17752 MiB, 24564 MiB, 56.74 W
2026/03/08 00:17:21.099, 0 %, 0 %, 17752 MiB, 24564 MiB, 56.41 W
2026/03/08 00:17:22.100, 0 %, 0 %, 17752 MiB, 24564 MiB, 56.24 W
2026/03/08 00:17:23.100, 35 %, 0 %, 17752 MiB, 24564 MiB, 56.18 W
2026/03/08 00:17:24.100, 95 %, 40 %, 17752 MiB, 24564 MiB, 377.44 W
2026/03/08 00:17:25.101, 95 %, 40 %, 17752 MiB, 24564 MiB, 430.69 W
2026/03/08 00:17:26.101, 95 %, 40 %, 17752 MiB, 24564 MiB, 429.39 W
2026/03/08 00:17:27.101, 95 %, 39 %, 17752 MiB, 24564 MiB, 420.50 W
2026/03/08 00:17:28.102, 95 %, 38 %, 17752 MiB, 24564 MiB, 431.75 W
2026/03/08 00:17:29.102, 95 %, 37 %, 17752 MiB, 24564 MiB, 430.81 W
2026/03/08 00:17:30.102, 86 %, 30 %, 17752 MiB, 24564 MiB, 420.68 W
2026/03/08 00:17:31.103, 94 %, 36 %, 17752 MiB, 24564 MiB, 434.28 W
2026/03/08 00:17:32.103, 94 %, 36 %, 17752 MiB, 24564 MiB, 430.52 W
2026/03/08 00:17:33.104, 94 %, 36 %, 17752 MiB, 24564 MiB, 433.27 W
2026/03/08 00:17:34.104, 94 %, 90 %, 17762 MiB, 24564 MiB, 403.02 W
2026/03/08 00:17:35.104, 94 %, 90 %, 17762 MiB, 24564 MiB, 371.69 W
2026/03/08 00:17:36.105, 94 %, 90 %, 17762 MiB, 24564 MiB, 372.93 W
2026/03/08 00:17:37.105, 94 %, 90 %, 17762 MiB, 24564 MiB, 372.55 W
2026/03/08 00:17:38.105, 94 %, 90 %, 17762 MiB, 24564 MiB, 373.23 W
2026/03/08 00:17:39.106, 94 %, 90 %, 17762 MiB, 24564 MiB, 372.99 W
2026/03/08 00:17:40.106, 94 %, 90 %, 17762 MiB, 24564 MiB, 373.37 W
2026/03/08 00:17:41.106, 94 %, 89 %, 17762 MiB, 24564 MiB, 370.49 W
2026/03/08 00:17:42.107, 94 %, 90 %, 17762 MiB, 24564 MiB, 373.29 W
2026/03/08 00:17:43.107, 94 %, 90 %, 17762 MiB, 24564 MiB, 373.59 W
2026/03/08 00:17:44.107, 94 %, 90 %, 17762 MiB, 24564 MiB, 373.70 W
2026/03/08 00:17:45.108, 94 %, 90 %, 17762 MiB, 24564 MiB, 374.00 W
2026/03/08 00:17:46.108, 94 %, 89 %, 17762 MiB, 24564 MiB, 373.67 W
2026/03/08 00:17:47.108, 94 %, 89 %, 17762 MiB, 24564 MiB, 371.36 W
2026/03/08 00:17:48.110, 94 %, 90 %, 17762 MiB, 24564 MiB, 373.72 W
2026/03/08 00:17:49.111, 94 %, 90 %, 17762 MiB, 24564 MiB, 374.26 W
2026/03/08 00:17:50.111, 94 %, 90 %, 17762 MiB, 24564 MiB, 373.94 W
2026/03/08 00:17:51.111, 94 %, 90 %, 17762 MiB, 24564 MiB, 374.92 W
2026/03/08 00:17:52.112, 94 %, 90 %, 17762 MiB, 24564 MiB, 374.58 W
2026/03/08 00:17:53.112, 94 %, 90 %, 17762 MiB, 24564 MiB, 371.64 W
2026/03/08 00:17:54.113, 94 %, 90 %, 17762 MiB, 24564 MiB, 374.84 W
2026/03/08 00:17:55.113, 94 %, 89 %, 17762 MiB, 24564 MiB, 374.75 W
2026/03/08 00:17:56.113, 94 %, 90 %, 17762 MiB, 24564 MiB, 373.85 W
2026/03/08 00:17:57.114, 94 %, 90 %, 17762 MiB, 24564 MiB, 374.48 W
2026/03/08 00:17:58.114, 94 %, 90 %, 17762 MiB, 24564 MiB, 374.64 W
2026/03/08 00:17:59.114, 90 %, 85 %, 17762 MiB, 24564 MiB, 372.83 W
2026/03/08 00:18:00.115, 94 %, 90 %, 17762 MiB, 24564 MiB, 375.37 W
2026/03/08 00:18:01.115, 94 %, 90 %, 17762 MiB, 24564 MiB, 375.74 W
2026/03/08 00:18:02.115, 94 %, 90 %, 17762 MiB, 24564 MiB, 375.67 W
