2026/03/07 23:33:23.636, 94 %, 95 %, 17672 MiB, 24564 MiB, 361.89 W
2026/03/07 23:33:24.636, 94 %, 95 %, 17672 MiB, 24564 MiB, 361.88 W
2026/03/07 23:33:25.636, 94 %, 95 %, 17672 MiB, 24564 MiB, 361.89 W
2026/03/07 23:33:26.637, 90 %, 90 %, 17672 MiB, 24564 MiB, 359.80 W
2026/03/07 23:33:27.637, 94 %, 95 %, 17672 MiB, 24564 MiB, 362.13 W
2026/03/07 23:33:28.638, 94 %, 95 %, 17672 MiB, 24564 MiB, 361.97 W
2026/03/07 23:33:29.638, 94 %, 95 %, 17672 MiB, 24564 MiB, 361.93 W
2026/03/07 23:33:30.638, 94 %, 94 %, 17672 MiB, 24564 MiB, 362.50 W
2026/03/07 23:33:31.639, 94 %, 95 %, 17672 MiB, 24564 MiB, 362.87 W
2026/03/07 23:33:32.639, 94 %, 95 %, 17672 MiB, 24564 MiB, 360.88 W
2026/03/07 23:33:33.639, 94 %, 95 %, 17672 MiB, 24564 MiB, 363.65 W
2026/03/07 23:33:34.640, 94 %, 95 %, 17672 MiB, 24564 MiB, 363.46 W
2026/03/07 23:33:35.640, 94 %, 95 %, 17672 MiB, 24564 MiB, 363.43 W
2026/03/07 23:33:36.640, 94 %, 95 %, 17672 MiB, 24564 MiB, 363.68 W
2026/03/07 23:33:37.641, 0 %, 0 %, 17672 MiB, 24564 MiB, 149.21 W
2026/03/07 23:33:38.641, 0 %, 0 %, 17672 MiB, 24564 MiB, 123.36 W
2026/03/07 23:33:39.641, 0 %, 0 %, 17672 MiB, 24564 MiB, 72.62 W
2026/03/07 23:33:40.642, 0 %, 0 %, 17672 MiB, 24564 MiB, 65.54 W
2026/03/07 23:33:41.642, 0 %, 0 %, 17672 MiB, 24564 MiB, 59.03 W
2026/03/07 23:33:42.643, 0 %, 0 %, 17672 MiB, 24564 MiB, 58.89 W
2026/03/07 23:33:43.643, 0 %, 0 %, 17672 MiB, 24564 MiB, 58.42 W
2026/03/07 23:33:44.643, 0 %, 0 %, 17672 MiB, 24564 MiB, 57.90 W
2026/03/07 23:33:45.644, 93 %, 40 %, 17672 MiB, 24564 MiB, 172.44 W
2026/03/07 23:33:46.644, 95 %, 40 %, 17672 MiB, 24564 MiB, 431.80 W
2026/03/07 23:33:47.644, 95 %, 40 %, 17680 MiB, 24564 MiB, 434.36 W
2026/03/07 23:33:48.645, 97 %, 39 %, 17688 MiB, 24564 MiB, 420.67 W
2026/03/07 23:33:49.645, 95 %, 38 %, 17698 MiB, 24564 MiB, 430.86 W
2026/03/07 23:33:50.645, 95 %, 37 %, 17706 MiB, 24564 MiB, 430.65 W
2026/03/07 23:33:51.646, 94 %, 37 %, 17716 MiB, 24564 MiB, 434.92 W
2026/03/07 23:33:52.646, 94 %, 36 %, 17724 MiB, 24564 MiB, 422.11 W
2026/03/07 23:33:53.646, 95 %, 36 %, 17732 MiB, 24564 MiB, 418.05 W
2026/03/07 23:33:54.647, 94 %, 91 %, 17752 MiB, 24564 MiB, 395.34 W
2026/03/07 23:33:55.647, 94 %, 91 %, 17752 MiB, 24564 MiB, 376.73 W
2026/03/07 23:33:56.647, 94 %, 91 %, 17752 MiB, 24564 MiB, 376.69 W
2026/03/07 23:33:57.648, 94 %, 91 %, 17752 MiB, 24564 MiB, 373.99 W
2026/03/07 23:33:58.648, 94 %, 90 %, 17752 MiB, 24564 MiB, 373.78 W
2026/03/07 23:33:59.649, 94 %, 91 %, 17752 MiB, 24564 MiB, 377.02 W
2026/03/07 23:34:00.649, 94 %, 91 %, 17752 MiB, 24564 MiB, 377.09 W
2026/03/07 23:34:01.650, 94 %, 91 %, 17752 MiB, 24564 MiB, 376.43 W
2026/03/07 23:34:02.650, 95 %, 91 %, 17752 MiB, 24564 MiB, 376.80 W
2026/03/07 23:34:03.650, 95 %, 91 %, 17752 MiB, 24564 MiB, 377.02 W
2026/03/07 23:34:04.651, 94 %, 90 %, 17752 MiB, 24564 MiB, 374.06 W
2026/03/07 23:34:05.652, 94 %, 90 %, 17752 MiB, 24564 MiB, 376.71 W
2026/03/07 23:34:06.652, 94 %, 90 %, 17752 MiB, 24564 MiB, 376.54 W
2026/03/07 23:34:07.652, 94 %, 90 %, 17752 MiB, 24564 MiB, 376.47 W
2026/03/07 23:34:08.653, 94 %, 90 %, 17752 MiB, 24564 MiB, 376.28 W
2026/03/07 23:34:09.653, 94 %, 91 %, 17752 MiB, 24564 MiB, 376.02 W
2026/03/07 23:34:10.654, 94 %, 90 %, 17752 MiB, 24564 MiB, 373.77 W
2026/03/07 23:34:11.654, 94 %, 90 %, 17752 MiB, 24564 MiB, 376.15 W
2026/03/07 23:34:12.654, 94 %, 90 %, 17752 MiB, 24564 MiB, 376.78 W
2026/03/07 23:34:13.655, 94 %, 90 %, 17752 MiB, 24564 MiB, 376.00 W
2026/03/07 23:34:14.655, 94 %, 90 %, 17752 MiB, 24564 MiB, 376.19 W
2026/03/07 23:34:15.655, 94 %, 90 %, 17752 MiB, 24564 MiB, 376.88 W
2026/03/07 23:34:16.656, 94 %, 90 %, 17752 MiB, 24564 MiB, 374.25 W
2026/03/07 23:34:17.656, 94 %, 90 %, 17752 MiB, 24564 MiB, 376.42 W
2026/03/07 23:34:18.656, 94 %, 90 %, 17752 MiB, 24564 MiB, 376.67 W
2026/03/07 23:34:19.657, 94 %, 90 %, 17752 MiB, 24564 MiB, 376.77 W
2026/03/07 23:34:20.657, 94 %, 90 %, 17752 MiB, 24564 MiB, 376.82 W
2026/03/07 23:34:21.657, 94 %, 90 %, 17752 MiB, 24564 MiB, 376.70 W
2026/03/07 23:34:22.658, 94 %, 90 %, 17752 MiB, 24564 MiB, 374.88 W
2026/03/07 23:34:23.659, 93 %, 90 %, 17752 MiB, 24564 MiB, 376.86 W
2026/03/07 23:34:24.659, 0 %, 0 %, 17752 MiB, 24564 MiB, 268.61 W
2026/03/07 23:34:25.660, 0 %, 0 %, 17752 MiB, 24564 MiB, 132.21 W
