2026/03/08 00:27:49.758, 100 %, 29 %, 23160 MiB, 24564 MiB, 410.17 W
2026/03/08 00:27:50.758, 99 %, 25 %, 23164 MiB, 24564 MiB, 409.81 W
2026/03/08 00:27:51.758, 86 %, 19 %, 23168 MiB, 24564 MiB, 409.31 W
2026/03/08 00:27:52.759, 85 %, 18 %, 23172 MiB, 24564 MiB, 403.03 W
2026/03/08 00:27:53.768, 92 %, 26 %, 23176 MiB, 24564 MiB, 406.60 W
2026/03/08 00:27:54.769, 100 %, 29 %, 23178 MiB, 24564 MiB, 406.25 W
2026/03/08 00:27:55.795, 100 %, 29 %, 23182 MiB, 24564 MiB, 409.15 W
2026/03/08 00:27:56.795, 99 %, 28 %, 23186 MiB, 24564 MiB, 396.76 W
2026/03/08 00:27:57.796, 85 %, 18 %, 23190 MiB, 24564 MiB, 408.24 W
2026/03/08 00:27:58.796, 86 %, 18 %, 23194 MiB, 24564 MiB, 403.82 W
2026/03/08 00:27:59.796, 100 %, 28 %, 23198 MiB, 24564 MiB, 405.30 W
2026/03/08 00:28:00.797, 100 %, 29 %, 23200 MiB, 24564 MiB, 405.73 W
2026/03/08 00:28:01.797, 100 %, 29 %, 23204 MiB, 24564 MiB, 400.69 W
2026/03/08 00:28:02.798, 80 %, 16 %, 23208 MiB, 24564 MiB, 405.07 W
2026/03/08 00:28:03.798, 86 %, 19 %, 23212 MiB, 24564 MiB, 403.96 W
2026/03/08 00:28:04.798, 100 %, 27 %, 23214 MiB, 24564 MiB, 406.49 W
2026/03/08 00:28:05.804, 100 %, 28 %, 23218 MiB, 24564 MiB, 391.30 W
2026/03/08 00:28:06.804, 93 %, 21 %, 23222 MiB, 24564 MiB, 402.92 W
2026/03/08 00:28:07.805, 84 %, 17 %, 23226 MiB, 24564 MiB, 403.02 W
2026/03/08 00:28:08.805, 100 %, 28 %, 23230 MiB, 24564 MiB, 413.56 W
2026/03/08 00:28:09.805, 100 %, 28 %, 23232 MiB, 24564 MiB, 404.08 W
2026/03/08 00:28:10.806, 99 %, 23 %, 23236 MiB, 24564 MiB, 402.77 W
2026/03/08 00:28:11.806, 96 %, 52 %, 23256 MiB, 24564 MiB, 396.74 W
2026/03/08 00:28:12.806, 95 %, 73 %, 23256 MiB, 24564 MiB, 382.40 W
2026/03/08 00:28:13.807, 95 %, 73 %, 23256 MiB, 24564 MiB, 425.10 W
2026/03/08 00:28:14.807, 94 %, 72 %, 23256 MiB, 24564 MiB, 425.56 W
2026/03/08 00:28:15.807, 95 %, 73 %, 23256 MiB, 24564 MiB, 425.57 W
2026/03/08 00:28:16.808, 94 %, 72 %, 23256 MiB, 24564 MiB, 425.67 W
2026/03/08 00:28:17.808, 95 %, 73 %, 23256 MiB, 24564 MiB, 425.93 W
2026/03/08 00:28:18.809, 94 %, 72 %, 23256 MiB, 24564 MiB, 426.11 W
2026/03/08 00:28:19.809, 95 %, 73 %, 23256 MiB, 24564 MiB, 426.01 W
2026/03/08 00:28:20.809, 94 %, 72 %, 23256 MiB, 24564 MiB, 422.39 W
2026/03/08 00:28:21.810, 95 %, 73 %, 23256 MiB, 24564 MiB, 425.79 W
2026/03/08 00:28:22.810, 94 %, 72 %, 23256 MiB, 24564 MiB, 425.86 W
2026/03/08 00:28:23.812, 95 %, 73 %, 23256 MiB, 24564 MiB, 425.60 W
2026/03/08 00:28:24.812, 94 %, 72 %, 23256 MiB, 24564 MiB, 425.51 W
2026/03/08 00:28:25.813, 95 %, 73 %, 23256 MiB, 24564 MiB, 425.94 W
2026/03/08 00:28:26.813, 95 %, 73 %, 23256 MiB, 24564 MiB, 426.12 W
2026/03/08 00:28:27.814, 94 %, 72 %, 23256 MiB, 24564 MiB, 425.32 W
2026/03/08 00:28:28.814, 94 %, 72 %, 23256 MiB, 24564 MiB, 424.34 W
2026/03/08 00:28:29.814, 95 %, 73 %, 23256 MiB, 24564 MiB, 424.56 W
2026/03/08 00:28:30.815, 94 %, 72 %, 23256 MiB, 24564 MiB, 421.15 W
2026/03/08 00:28:31.815, 95 %, 72 %, 23256 MiB, 24564 MiB, 424.65 W
2026/03/08 00:28:32.815, 95 %, 73 %, 23256 MiB, 24564 MiB, 425.53 W
2026/03/08 00:28:33.816, 95 %, 73 %, 23256 MiB, 24564 MiB, 425.15 W
2026/03/08 00:28:34.816, 95 %, 73 %, 23256 MiB, 24564 MiB, 425.64 W
2026/03/08 00:28:35.816, 95 %, 73 %, 23256 MiB, 24564 MiB, 425.77 W
2026/03/08 00:28:36.817, 95 %, 73 %, 23256 MiB, 24564 MiB, 425.68 W
2026/03/08 00:28:37.817, 94 %, 72 %, 23256 MiB, 24564 MiB, 426.03 W
2026/03/08 00:28:38.817, 95 %, 73 %, 23256 MiB, 24564 MiB, 425.54 W
2026/03/08 00:28:39.818, 94 %, 72 %, 23256 MiB, 24564 MiB, 422.83 W
2026/03/08 00:28:40.818, 95 %, 73 %, 23256 MiB, 24564 MiB, 422.27 W
2026/03/08 00:28:41.818, 95 %, 73 %, 23256 MiB, 24564 MiB, 425.40 W
2026/03/08 00:28:42.819, 94 %, 72 %, 23256 MiB, 24564 MiB, 425.71 W
2026/03/08 00:28:43.819, 95 %, 73 %, 23256 MiB, 24564 MiB, 426.32 W
2026/03/08 00:28:44.819, 94 %, 72 %, 23256 MiB, 24564 MiB, 426.41 W
2026/03/08 00:28:45.820, 95 %, 73 %, 23256 MiB, 24564 MiB, 425.96 W
2026/03/08 00:28:46.820, 94 %, 72 %, 23256 MiB, 24564 MiB, 425.96 W
2026/03/08 00:28:47.820, 95 %, 73 %, 23256 MiB, 24564 MiB, 425.20 W
2026/03/08 00:28:48.821, 94 %, 72 %, 23256 MiB, 24564 MiB, 425.45 W
2026/03/08 00:28:49.821, 93 %, 72 %, 23256 MiB, 24564 MiB, 423.43 W
2026/03/08 00:28:50.822, 94 %, 72 %, 23256 MiB, 24564 MiB, 425.80 W
2026/03/08 00:28:51.822, 93 %, 72 %, 23256 MiB, 24564 MiB, 425.58 W
2026/03/08 00:28:52.822, 94 %, 72 %, 23256 MiB, 24564 MiB, 426.43 W
2026/03/08 00:28:53.823, 93 %, 72 %, 23256 MiB, 24564 MiB, 426.82 W
2026/03/08 00:28:54.823, 94 %, 72 %, 23256 MiB, 24564 MiB, 426.00 W
2026/03/08 00:28:55.823, 94 %, 73 %, 23256 MiB, 24564 MiB, 427.21 W
2026/03/08 00:28:56.824, 95 %, 73 %, 23256 MiB, 24564 MiB, 424.66 W
2026/03/08 00:28:57.824, 95 %, 73 %, 23256 MiB, 24564 MiB, 426.62 W
2026/03/08 00:28:58.824, 94 %, 72 %, 23256 MiB, 24564 MiB, 425.14 W
2026/03/08 00:28:59.825, 95 %, 73 %, 23256 MiB, 24564 MiB, 423.03 W
2026/03/08 00:29:00.825, 95 %, 73 %, 23256 MiB, 24564 MiB, 419.99 W
2026/03/08 00:29:01.825, 0 %, 0 %, 23256 MiB, 24564 MiB, 142.57 W
2026/03/08 00:29:02.826, 0 %, 0 %, 23256 MiB, 24564 MiB, 77.85 W
2026/03/08 00:29:03.826, 0 %, 0 %, 23256 MiB, 24564 MiB, 70.19 W
2026/03/08 00:29:04.826, 0 %, 0 %, 23256 MiB, 24564 MiB, 62.52 W
2026/03/08 00:29:05.827, 0 %, 0 %, 23256 MiB, 24564 MiB, 61.64 W
2026/03/08 00:29:06.827, 0 %, 0 %, 23256 MiB, 24564 MiB, 61.02 W
2026/03/08 00:29:07.827, 0 %, 0 %, 23256 MiB, 24564 MiB, 60.29 W
2026/03/08 00:29:08.828, 0 %, 0 %, 23256 MiB, 24564 MiB, 59.63 W
2026/03/08 00:29:09.828, 0 %, 0 %, 23256 MiB, 24564 MiB, 59.05 W
2026/03/08 00:29:10.829, 0 %, 0 %, 23256 MiB, 24564 MiB, 58.65 W
2026/03/08 00:29:11.829, 0 %, 0 %, 23256 MiB, 24564 MiB, 58.68 W
2026/03/08 00:29:12.836, 0 %, 0 %, 23256 MiB, 24564 MiB, 58.37 W
2026/03/08 00:29:13.837, 0 %, 0 %, 23256 MiB, 24564 MiB, 57.85 W
2026/03/08 00:29:14.837, 0 %, 0 %, 23256 MiB, 24564 MiB, 57.44 W
2026/03/08 00:29:15.837, 0 %, 0 %, 23256 MiB, 24564 MiB, 57.10 W
